tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,director,writer,cast
tt0035423,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",6.4,86674.0,James Mangold,Steven Rogers,Meg Ryan
tt0098532,Tulitikkutehtaan tyttö,1990,69,"Comedy,Crime,Drama",7.5,10240.0,Aki Kaurismäki,Aki Kaurismäki,Kati Outinen
tt0098966,3 Men and a Little Lady,1990,104,"Comedy,Drama,Family",5.4,25580.0,Emile Ardolino,Coline Serreau,Tom Selleck
tt0098987,The Adventures of Ford Fairlane,1990,104,"Action,Adventure,Comedy",6.4,18690.0,Renny Harlin,Daniel Waters,Andrew Dice Clay
tt0099005,Air America,1990,113,"Action,Comedy,War",5.8,29568.0,Roger Spottiswoode,Christopher Robbins,Mel Gibson
tt0099012,Alice,1990,106,"Comedy,Romance",6.6,14753.0,Woody Allen,Woody Allen,Mia Farrow
tt0099044,Another 48 Hrs.,1990,95,"Action,Comedy,Crime",5.9,43026.0,Walter Hill,John Fasano,Eddie Murphy
tt0099052,Arachnophobia,1990,109,"Comedy,Horror,Thriller",6.5,72344.0,Frank Marshall,Don Jakoby,Jeff Daniels
tt0099077,Awakenings,1990,121,"Biography,Drama",7.8,148514.0,Penny Marshall,Oliver Sacks,Robert De Niro
tt0099088,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.4,459560.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox
tt0099091,Bad Influence,1990,99,"Drama,Thriller",6.3,10255.0,Curtis Hanson,David Koepp,Rob Lowe
tt0099141,Bird on a Wire,1990,110,"Action,Comedy",6.0,46018.0,John Badham,Louis Venosta,Mel Gibson
tt0099160,Blue Steel,1990,102,"Action,Crime,Drama",5.8,16508.0,Kathryn Bigelow,Kathryn Bigelow,Jamie Lee Curtis
tt0099165,The Bonfire of the Vanities,1990,125,"Comedy,Drama,Romance",5.6,25847.0,Brian De Palma,Michael Cristofer,Tom Hanks
tt0099180,Bride of Re-Animator,1990,96,"Comedy,Horror,Sci-Fi",6.2,16703.0,Brian Yuzna,Zeph E. Daniel,Jeffrey Combs
tt0099204,Cadillac Man,1990,97,"Comedy,Crime",5.7,14940.0,Roger Donaldson,Ken Friedman,Robin Williams
tt0099253,Child's Play 2,1990,84,"Horror,Thriller",5.9,54312.0,John Lafia,Don Mancini,Alex Vincent
tt0099329,Cry-Baby,1990,85,"Comedy,Musical",6.5,62395.0,John Waters,John Waters,Johnny Depp
tt0099334,Cyrano de Bergerac,1990,137,"Comedy,Drama,History",7.5,25053.0,Jean-Paul Rappeneau,Edmond Rostand,Gérard Depardieu
tt0099348,Dances with Wolves,1990,181,"Adventure,Drama,Western",8.0,275708.0,Kevin Costner,Michael Blake,Kevin Costner
tt0099365,Darkman,1990,96,"Action,Sci-Fi,Thriller",6.4,66980.0,Sam Raimi,Sam Raimi,Liam Neeson
tt0099371,Days of Thunder,1990,107,"Action,Drama,Sport",6.1,92172.0,Tony Scott,Robert Towne,Tom Cruise
tt0099385,Death Warrant,1990,89,"Action,Crime,Mystery",5.7,19737.0,Deran Sarafian,David S. Goyer,Jean-Claude Van Damme
tt0099422,Dick Tracy,1990,105,"Action,Comedy,Crime",6.2,63663.0,Warren Beatty,Chester Gould,Warren Beatty
tt0099423,Die Hard 2,1990,124,"Action,Thriller",7.1,370168.0,Renny Harlin,Steven E. de Souza,Bruce Willis
tt0099426,Dip huet gai tau,1990,136,"Action,Crime,Drama",7.5,11189.0,John Woo,Janet Chun,Tony Leung Chiu-wai
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,1990,74,"Adventure,Animation,Comedy",6.8,27769.0,Bob Hathcock,Alan Burnett,Alan Young
tt0099487,Edward Scissorhands,1990,105,"Drama,Fantasy,Romance",7.9,502033.0,Tim Burton,Tim Burton,Johnny Depp
tt0099528,The Exorcist III,1990,110,"Drama,Horror,Mystery",6.5,34273.0,William Peter Blatty,William Peter Blatty,George C. Scott
tt0099558,Fei ying gai wak,1991,106,"Action,Adventure,Comedy",7.2,21593.0,Jackie Chan,Jackie Chan,Jackie Chan
tt0099582,Flatliners,1990,115,"Drama,Horror,Sci-Fi",6.5,89814.0,Joel Schumacher,Peter Filardi,Kiefer Sutherland
tt0099611,Frankenhooker,1990,85,"Comedy,Horror,Sci-Fi",6.2,12003.0,Frank Henenlotter,Robert Martin,James Lorinz
tt0099615,The Freshman,1990,102,"Comedy,Crime",6.4,21238.0,Andrew Bergman,Andrew Bergman,Marlon Brando
tt0099653,Ghost,1990,127,"Drama,Fantasy,Romance",7.1,224969.0,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze
tt0099674,The Godfather Part III,1990,162,"Crime,Drama",7.6,406901.0,Francis Ford Coppola,Mario Puzo,Al Pacino
tt0099685,GoodFellas,1990,145,"Biography,Crime,Drama",8.7,1188476.0,Martin Scorsese,Nicholas Pileggi,Robert De Niro
tt0099699,Green Card,1990,107,"Comedy,Drama,Romance",6.3,25142.0,Peter Weir,Peter Weir,Gérard Depardieu
tt0099700,Gremlins 2: The New Batch,1990,106,"Comedy,Fantasy,Horror",6.4,107765.0,Joe Dante,Charles S. Haas,Zach Galligan
tt0099703,The Grifters,1990,110,"Crime,Drama,Thriller",6.9,29117.0,Stephen Frears,Jim Thompson,Anjelica Huston
tt0099726,Hamlet,1990,135,Drama,6.7,23014.0,Franco Zeffirelli,William Shakespeare,Mel Gibson
tt0099731,The Handmaid's Tale,1990,109,"Drama,Romance,Sci-Fi",6.0,10155.0,Volker Schlöndorff,Margaret Atwood,Natasha Richardson
tt0099739,Hard to Kill,1990,96,"Action,Crime,Drama",5.8,31225.0,Bruce Malmuth,Steven McKay,Steven Seagal
tt0099740,Hardware,1990,94,"Sci-Fi,Thriller",5.9,15887.0,Richard Stanley,Steve MacManus,Dylan McDermott
tt0099762,Henry & June,1990,136,"Biography,Drama",6.3,13675.0,Philip Kaufman,Anaïs Nin,Fred Ward
tt0099776,Europa Europa,1990,112,"Drama,History,War",7.6,16877.0,Agnieszka Holland,Agnieszka Holland,Marco Hofschneider
tt0099785,Home Alone,1990,103,"Comedy,Family",7.7,603249.0,Chris Columbus,John Hughes,Macaulay Culkin
tt0099797,The Hot Spot,1990,130,"Crime,Drama,Romance",6.4,12669.0,Dennis Hopper,Charles Williams,Don Johnson
tt0099800,House Party,1990,100,"Comedy,Music,Romance",6.5,15944.0,Reginald Hudlin,Reginald Hudlin,Christopher Reid
tt0099810,The Hunt for Red October,1990,135,"Action,Adventure,Thriller",7.5,206413.0,John McTiernan,Tom Clancy,Sean Connery
tt0099817,Dark Angel,1990,91,"Action,Crime,Horror",6.1,12983.0,Craig R. Baxley,Jonathan Tydor,Dolph Lundgren
tt0099819,I Love You to Death,1990,97,"Comedy,Crime",6.4,15005.0,Lawrence Kasdan,John Kostmayer,Kevin Kline
tt0099850,Internal Affairs,1990,115,"Crime,Drama,Thriller",6.5,21442.0,Mike Figgis,Henry Bean,Richard Gere
tt0099871,Jacob's Ladder,1990,113,"Drama,Horror,Mystery",7.4,112467.0,Adrian Lyne,Bruce Joel Rubin,Tim Robbins
tt0099892,Joe Versus the Volcano,1990,102,"Comedy,Romance",5.9,38535.0,John Patrick Shanley,John Patrick Shanley,Tom Hanks
tt0099938,Kindergarten Cop,1990,111,"Action,Comedy,Crime",6.2,154962.0,Ivan Reitman,Murray Salem,Arnold Schwarzenegger
tt0099939,King of New York,1990,103,"Crime,Thriller",6.9,39168.0,Abel Ferrara,Nicholas St. John,Christopher Walken
tt0099994,Leatherface: Texas Chainsaw Massacre III,1990,85,"Horror,Thriller",5.0,17910.0,Jeff Burr,Kim Henkel,Kate Hodge
tt0100024,Life Is Sweet,1990,103,"Comedy,Drama",7.4,10820.0,Mike Leigh,Mike Leigh,Alison Steadman
tt0100029,Lionheart,1990,108,"Action,Crime,Drama",6.2,37820.0,Sheldon Lettich,Stefani Warren,Jean-Claude Van Damme
tt0100054,Lord of the Flies,1990,90,"Adventure,Drama,Thriller",6.4,31929.0,Harry Hook,William Golding,Balthazar Getty
tt0100112,Le mari de la coiffeuse,1990,82,"Comedy,Drama,Romance",7.2,10065.0,Patrice Leconte,Patrick Cauvin,Jean Rochefort
tt0100114,Marked for Death,1990,93,"Action,Crime,Drama",5.9,23243.0,Dwight H. Little,Michael Grais,Steven Seagal
tt0100133,Memphis Belle,1990,107,"Action,Drama,War",6.9,29379.0,Michael Caton-Jones,Monte Merrick,Matthew Modine
tt0100135,Men at Work,1990,98,"Action,Comedy,Crime",5.9,25628.0,Emilio Estevez,Emilio Estevez,Charlie Sheen
tt0100140,Mermaids,1990,110,"Comedy,Drama,Romance",6.7,33838.0,Richard Benjamin,Patty Dann,Cher
tt0100142,Metropolitan,1990,98,"Comedy,Drama,Romance",7.3,11828.0,Whit Stillman,Whit Stillman,Carolyn Farina
tt0100150,Miller's Crossing,1990,115,"Crime,Drama,Thriller",7.7,138073.0,Joel Coen,Joel Coen,Gabriel Byrne
tt0100157,Misery,1990,107,"Drama,Thriller",7.8,220462.0,Rob Reiner,Stephen King,James Caan
tt0100168,Mo' Better Blues,1990,129,"Drama,Music,Romance",6.7,13069.0,Spike Lee,Spike Lee,Denzel Washington
tt0100201,Mr. Destiny,1990,116,"Comedy,Fantasy,Romance",6.4,12844.0,James Orr,James Orr,Jim Belushi
tt0100212,My Blue Heaven,1990,97,"Comedy,Crime",6.2,21816.0,Herbert Ross,Nora Ephron,Steve Martin
tt0100232,Navy Seals,1990,113,"Action,Adventure,Thriller",5.5,17349.0,Lewis Teague,Chuck Pfarrer,Charlie Sheen
tt0100240,The NeverEnding Story II: The Next Chapter,1990,90,"Adventure,Drama,Family",5.1,26738.0,George Miller,Karin Howard,Jonathan Brandis
tt0100258,Night of the Living Dead,1990,92,Horror,6.8,43793.0,Tom Savini,John A. Russo,Tony Todd
tt0100260,Nightbreed,1990,102,"Action,Fantasy,Horror",6.5,24732.0,Clive Barker,Clive Barker,Craig Sheffer
tt0100263,Nikita,1990,117,"Action,Crime,Drama",7.3,73921.0,Luc Besson,Luc Besson,Anne Parillaud
tt0100318,Pacific Heights,1990,102,Thriller,6.4,21513.0,John Schlesinger,Daniel Pyne,Melanie Griffith
tt0100395,Postcards from the Edge,1990,101,"Comedy,Drama",6.7,18474.0,Mike Nichols,Carrie Fisher,Meryl Streep
tt0100403,Predator 2,1990,108,"Action,Horror,Sci-Fi",6.3,174182.0,Stephen Hopkins,Jim Thomas,Danny Glover
tt0100404,Presumed Innocent,1990,127,"Mystery,Thriller",6.9,43814.0,Alan J. Pakula,Scott Turow,Harrison Ford
tt0100405,Pretty Woman,1990,119,"Comedy,Romance",7.1,336535.0,Garry Marshall,J.F. Lawton,Richard Gere
tt0100419,Problem Child,1990,81,"Comedy,Family",5.4,31874.0,Dennis Dugan,Scott Alexander,Michael Oliver
tt0100436,Pump Up the Volume,1990,102,"Comedy,Drama,Music",7.2,29823.0,Allan Moyle,Allan Moyle,Christian Slater
tt0100449,Quick Change,1990,89,"Comedy,Crime",6.8,21449.0,Howard Franklin,Jay Cronley,Bill Murray
tt0100477,The Rescuers Down Under,1990,77,"Adventure,Animation,Comedy",6.8,44836.0,Hendel Butoy,Jim Cox,Bob Newhart
tt0100485,Revenge,1990,124,"Action,Crime,Drama",6.2,19650.0,Tony Scott,Jim Harrison,Kevin Costner
tt0100486,Reversal of Fortune,1990,111,"Biography,Drama,Mystery",7.2,17420.0,Barbet Schroeder,Alan Dershowitz,Jeremy Irons
tt0100502,RoboCop 2,1990,117,"Action,Crime,Sci-Fi",5.8,88969.0,Irvin Kershner,Edward Neumeier,Peter Weller
tt0100507,Rocky V,1990,104,"Drama,Sport",5.3,144167.0,John G. Avildsen,Sylvester Stallone,Sylvester Stallone
tt0100514,The Rookie,1990,120,"Action,Crime,Drama",5.9,28195.0,Clint Eastwood,Boaz Yakin,Clint Eastwood
tt0100519,Rosencrantz & Guildenstern Are Dead,1990,117,"Comedy,Drama",7.3,23193.0,Tom Stoppard,Tom Stoppard,Gary Oldman
tt0100530,The Russia House,1990,123,"Drama,Romance,Thriller",6.1,16751.0,Fred Schepisi,John le Carré,Sean Connery
tt0100594,The Sheltering Sky,1990,138,"Adventure,Drama",6.7,13256.0,Bernardo Bertolucci,Paul Bowles,Debra Winger
tt0100685,State of Grace,1990,134,"Action,Crime,Drama",7.2,23591.0,Phil Joanou,Dennis McIntyre,Sean Penn
tt0100740,Tales from the Darkside: The Movie,1990,93,"Comedy,Fantasy,Horror",6.2,18363.0,John Harrison,Michael McDowell,Debbie Harry
tt0100758,Teenage Mutant Ninja Turtles,1990,93,"Action,Adventure,Comedy",6.7,97415.0,Steve Barron,Kevin Eastman,Judith Hoag
tt0100802,Total Recall,1990,113,"Action,Adventure,Sci-Fi",7.5,340038.0,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger
tt0100814,Tremors,1990,96,"Comedy,Horror",7.1,142828.0,Ron Underwood,S.S. Wilson,Kevin Bacon
tt0100828,The Two Jakes,1990,137,"Crime,Drama,Mystery",6.1,14741.0,Jack Nicholson,Robert Towne,Jack Nicholson
tt0100928,White Hunter Black Heart,1990,112,"Adventure,Drama",6.5,12795.0,Clint Eastwood,Peter Viertel,Clint Eastwood
tt0100935,Wild at Heart,1990,125,"Comedy,Crime,Drama",7.2,96641.0,David Lynch,Barry Gifford,Nicolas Cage
tt0100944,The Witches,1990,91,"Adventure,Comedy,Family",6.8,52267.0,Nicolas Roeg,Roald Dahl,Anjelica Huston
tt0100994,Young Guns II,1990,104,"Action,Drama,Western",6.5,37554.0,Geoff Murphy,John Fusco,Emilio Estevez
tt0100998,Yume,1990,119,"Drama,Fantasy",7.7,27543.0,Ishirô Honda,Akira Kurosawa,Akira Terao
tt0101258,Ah fei jing juen,1990,100,"Crime,Drama,Romance",7.4,23761.0,Kar-Wai Wong,Jeffrey Lau,Leslie Cheung
tt0101272,The Addams Family,1991,99,"Comedy,Fantasy",6.9,170789.0,Barry Sonnenfeld,Charles Addams,Anjelica Huston
tt0101316,L'amant,1992,115,"Biography,Drama,Romance",6.8,22447.0,Jean-Jacques Annaud,Marguerite Duras,Jane March
tt0101318,Les amants du Pont-Neuf,1991,125,"Drama,Romance",7.6,14656.0,Leos Carax,Leos Carax,Juliette Binoche
tt0101329,An American Tail: Fievel Goes West,1991,75,"Adventure,Animation,Family",6.5,27232.0,Phil Nibbelink,David Kirschner,James Stewart
tt0101393,Backdraft,1991,137,"Action,Drama,Mystery",6.7,83575.0,Ron Howard,Gregory Widen,Kurt Russell
tt0101410,Barton Fink,1991,116,"Comedy,Drama,Thriller",7.6,125138.0,Joel Coen,Joel Coen,John Turturro
tt0101414,Beauty and the Beast,1991,84,"Animation,Family,Fantasy",8.0,463485.0,Kirk Wise,Linda Woolverton,Paige O'Hara
tt0101452,Bill & Ted's Bogus Journey,1991,93,"Adventure,Comedy,Fantasy",6.3,78276.0,Peter Hewitt,Chris Matheson,Keanu Reeves
tt0101453,Billy Bathgate,1991,106,"Crime,Drama,Thriller",5.9,12399.0,Robert Benton,E.L. Doctorow,Dustin Hoffman
tt0101458,Bis ans Ende der Welt,1991,158,"Action,Drama,Sci-Fi",6.8,10755.0,Wim Wenders,Peter Carey,William Hurt
tt0101507,Boyz n the Hood,1991,112,"Crime,Drama",7.8,145945.0,John Singleton,John Singleton,Cuba Gooding Jr.
tt0101516,Bugsy,1991,136,"Biography,Crime,Drama",6.8,29988.0,Barry Levinson,James Toback,Warren Beatty
tt0101540,Cape Fear,1991,128,"Crime,Thriller",7.3,203509.0,Martin Scorsese,John D. MacDonald,Robert De Niro
tt0101545,Career Opportunities,1991,83,"Comedy,Romance",5.8,16050.0,Bryan Gordon,John Hughes,Frank Whaley
tt0101587,City Slickers,1991,113,"Comedy,Western",6.8,60111.0,Ron Underwood,Lowell Ganz,Billy Crystal
tt0101605,The Commitments,1991,118,"Comedy,Drama,Music",7.6,36881.0,Alan Parker,Roddy Doyle,Robert Arkins
tt0101635,Curly Sue,1991,101,"Comedy,Drama,Family",5.8,22451.0,John Hughes,John Hughes,Jim Belushi
tt0101640,Da hong denglong gaogao gua,1991,125,"Drama,Romance",8.1,33864.0,Yimou Zhang,Tong Su,Gong Li
tt0101669,Dead Again,1991,107,"Crime,Drama,Mystery",6.8,29293.0,Kenneth Branagh,Scott Frank,Kenneth Branagh
tt0101698,Defending Your Life,1991,112,"Comedy,Drama,Fantasy",7.2,19727.0,Albert Brooks,Albert Brooks,Albert Brooks
tt0101700,Delicatessen,1991,99,"Comedy,Crime",7.5,87269.0,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Marie-Laure Dougnac
tt0101745,Doc Hollywood,1991,104,"Comedy,Drama,Romance",6.3,38571.0,Michael Caton-Jones,Neil B. Shulman,Michael J. Fox
tt0101757,Don't Tell Mom the Babysitter's Dead,1991,102,Comedy,6.3,35477.0,Stephen Herek,Neil Landau,Christina Applegate
tt0101761,The Doors,1991,140,"Biography,Drama,Music",7.2,95506.0,Oliver Stone,Randall Jahnson,Val Kilmer
tt0101764,Double Impact,1991,110,"Action,Crime",5.6,42238.0,Sheldon Lettich,Sheldon Lettich,Jean-Claude Van Damme
tt0101765,La double vie de Véronique,1991,98,"Drama,Fantasy,Music",7.7,50626.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob
tt0101775,Drop Dead Fred,1991,103,"Comedy,Drama,Fantasy",5.9,30243.0,Ate de Jong,Elizabeth Livingston,Phoebe Cates
tt0101786,Dutch,1991,107,"Comedy,Drama",6.5,13324.0,Peter Faiman,John Hughes,Ed O'Neill
tt0101787,Dying Young,1991,111,"Drama,Romance",6.0,16766.0,Joel Schumacher,Marti Leimbach,Julia Roberts
tt0101829,Europa,1991,112,"Drama,Thriller",7.6,22225.0,Lars von Trier,Lars von Trier,Barbara Sukowa
tt0101846,F/X2,1991,108,"Action,Thriller",5.8,11294.0,Richard Franklin,Robert T. Megginson,Bryan Brown
tt0101862,Father of the Bride,1991,105,"Comedy,Family,Romance",6.5,80190.0,Charles Shyer,Frances Goodrich,Steve Martin
tt0101889,The Fisher King,1991,137,"Comedy,Drama,Fantasy",7.5,87873.0,Terry Gilliam,Richard LaGravenese,Jeff Bridges
tt0101912,Frankie and Johnny,1991,118,"Comedy,Drama,Romance",6.7,32896.0,Garry Marshall,Terrence McNally,Al Pacino
tt0101921,Fried Green Tomatoes,1991,130,Drama,7.7,77696.0,Jon Avnet,Fannie Flagg,Kathy Bates
tt0101969,Grand Canyon,1991,134,"Crime,Drama",6.9,16188.0,Lawrence Kasdan,Lawrence Kasdan,Danny Glover
tt0101985,Guling jie shaonian sharen shijian,1991,237,"Crime,Drama,Romance",8.3,11428.0,Edward Yang,Hung Hung,Chang Chen
tt0102004,The Hard Way,1991,111,"Action,Comedy,Crime",6.3,21534.0,John Badham,Lem Dobbs,Michael J. Fox
tt0102005,Harley Davidson and the Marlboro Man,1991,98,"Action,Crime,Drama",6.1,21246.0,Simon Wincer,Don Michael Paul,Mickey Rourke
tt0102057,Hook,1991,142,"Adventure,Comedy,Family",6.8,262678.0,Steven Spielberg,J.M. Barrie,Dustin Hoffman
tt0102059,Hot Shots!,1991,84,"Action,Comedy",6.7,112052.0,Jim Abrahams,Jim Abrahams,Charlie Sheen
tt0102070,Hudson Hawk,1991,100,"Action,Adventure,Comedy",5.7,58104.0,Michael Lehmann,Bruce Willis,Bruce Willis
tt0102138,JFK,1991,189,"Drama,History,Thriller",8.0,161607.0,Oliver Stone,Jim Garrison,Kevin Costner
tt0102164,Johnny Stecchino,1991,102,"Comedy,Crime,Romance",7.2,11159.0,Roberto Benigni,Roberto Benigni,Roberto Benigni
tt0102175,Jungle Fever,1991,132,"Drama,Romance",6.6,19037.0,Spike Lee,Spike Lee,Wesley Snipes
tt0102181,Kafka,1991,98,"Drama,Mystery,Sci-Fi",6.8,10281.0,Steven Soderbergh,Lem Dobbs,Jeremy Irons
tt0102216,King Ralph,1991,97,"Comedy,Romance",5.4,16515.0,David S. Ward,Emlyn Williams,John Goodman
tt0102250,L.A. Story,1991,95,"Comedy,Drama,Fantasy",6.7,33509.0,Mick Jackson,Steve Martin,Steve Martin
tt0102266,The Last Boy Scout,1991,105,"Action,Comedy,Crime",7.0,107133.0,Tony Scott,Shane Black,Bruce Willis
tt0102293,Lik wong,1991,91,"Action,Comedy,Crime",7.0,14278.0,Ngai Choi Lam,Tetsuya Saruwatari,Siu-Wong Fan
tt0102303,Life Stinks,1991,92,Comedy,5.9,10925.0,Mel Brooks,Mel Brooks,Mel Brooks
tt0102316,Little Man Tate,1991,99,Drama,6.6,15423.0,Jodie Foster,Scott Frank,Jodie Foster
tt0102343,Love Potion No. 9,1992,92,"Comedy,Fantasy,Romance",5.7,14724.0,Dale Launer,Dale Launer,Tate Donovan
tt0102388,The Man in the Moon,1991,99,"Drama,Romance",7.3,17488.0,Robert Mulligan,Jenny Wingfield,Sam Waterston
tt0102426,Mediterraneo,1991,96,"Comedy,Drama,War",7.4,15831.0,Gabriele Salvatores,Enzo Monteleone,Diego Abatantuono
tt0102492,My Girl,1991,102,"Comedy,Drama,Family",6.9,84404.0,Howard Zieff,Laurice Elehwany,Anna Chlumsky
tt0102494,My Own Private Idaho,1991,104,Drama,7.0,58885.0,Gus Van Sant,Gus Van Sant,River Phoenix
tt0102510,The Naked Gun 2½: The Smell of Fear,1991,85,"Comedy,Crime",6.9,117078.0,David Zucker,Jim Abrahams,Leslie Nielsen
tt0102511,Naked Lunch,1991,115,Drama,6.9,53911.0,David Cronenberg,William S. Burroughs,Peter Weller
tt0102517,Necessary Roughness,1991,108,"Comedy,Sport",6.2,12522.0,Stan Dragoti,Rick Natkin,Scott Bakula
tt0102526,New Jack City,1991,97,"Action,Crime,Drama",6.6,36946.0,Mario Van Peebles,Thomas Lee Wright,Wesley Snipes
tt0102536,Night on Earth,1991,129,"Comedy,Drama",7.7,62669.0,Jim Jarmusch,Jim Jarmusch,Winona Ryder
tt0102555,Not Without My Daughter,1991,116,"Drama,Thriller",6.4,13922.0,Brian Gilbert,Betty Mahmoody,Sally Field
tt0102558,Nothing But Trouble,1991,94,Comedy,5.1,26211.0,Dan Aykroyd,Peter Aykroyd,Chevy Chase
tt0102587,Omohide poro poro,1991,119,"Animation,Drama,Romance",7.6,34289.0,Isao Takahata,Hotaru Okamoto,Miki Imai
tt0102592,One False Move,1992,105,"Crime,Drama,Thriller",7.1,12559.0,Carl Franklin,Billy Bob Thornton,Bill Paxton
tt0102598,Only the Lonely,1991,104,"Comedy,Romance",6.3,11786.0,Chris Columbus,Chris Columbus,John Candy
tt0102603,Oscar,1991,109,"Comedy,Crime",6.5,33053.0,John Landis,Claude Magnier,Sylvester Stallone
tt0102614,Out for Justice,1991,91,"Action,Crime,Drama",6.1,24820.0,John Flynn,R. Lance Hill,Steven Seagal
tt0102685,Point Break,1991,122,"Action,Crime,Thriller",7.2,190946.0,Kathryn Bigelow,Rick King,Patrick Swayze
tt0102713,The Prince of Tides,1991,132,"Drama,Romance",6.8,18812.0,Barbra Streisand,Pat Conroy,Barbra Streisand
tt0102744,Quigley Down Under,1990,119,"Action,Adventure,Drama",6.9,23178.0,Simon Wincer,John Hill,Tom Selleck
tt0102768,Regarding Henry,1991,108,"Drama,Romance",6.7,33327.0,Mike Nichols,J.J. Abrams,Harrison Ford
tt0102782,Return to the Blue Lagoon,1991,102,"Adventure,Drama,Romance",5.1,20742.0,William A. Graham,Henry De Vere Stacpoole,Brian Krause
tt0102789,Ricochet,1991,102,"Action,Crime,Drama",6.1,19172.0,Russell Mulcahy,Fred Dekker,Denzel Washington
tt0102798,Robin Hood: Prince of Thieves,1991,143,"Action,Adventure,Drama",6.9,200216.0,Kevin Reynolds,Pen Densham,Kevin Costner
tt0102802,Rock-A-Doodle,1991,74,"Adventure,Animation,Comedy",6.0,10040.0,Dan Kuenster,Don Bluth,Glen Campbell
tt0102803,The Rocketeer,1991,108,"Action,Adventure,Family",6.5,59618.0,Joe Johnston,Dave Stevens,Billy Campbell
tt0102900,Shattered,1991,98,"Crime,Drama,Mystery",6.5,10705.0,Wolfgang Petersen,Richard Neely,Tom Berenger
tt0102915,Showdown in Little Tokyo,1991,79,"Action,Comedy,Crime",6.1,19865.0,Mark L. Lester,Stephen Glantz,Dolph Lundgren
tt0102926,The Silence of the Lambs,1991,118,"Crime,Drama,Thriller",8.6,1464107.0,Jonathan Demme,Thomas Harris,Jodie Foster
tt0102943,Slacker,1990,97,"Comedy,Drama",7.0,22593.0,Richard Linklater,Richard Linklater,Bob Boyd
tt0102945,Sleeping with the Enemy,1991,99,"Drama,Thriller",6.2,61221.0,Joseph Ruben,Nancy Price,Julia Roberts
tt0102951,Soapdish,1991,97,"Comedy,Romance",6.6,16931.0,Michael Hoffman,Robert Harling,Sally Field
tt0102975,Star Trek VI: The Undiscovered Country,1991,110,"Action,Adventure,Sci-Fi",7.2,78116.0,Nicholas Meyer,Gene Roddenberry,William Shatner
tt0103016,Switch,1991,103,"Comedy,Fantasy",5.8,10005.0,Blake Edwards,Blake Edwards,Ellen Barkin
tt0103030,Tacones lejanos,1991,112,"Comedy,Drama,Romance",7.0,16647.0,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril
tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,88,"Action,Adventure,Comedy",6.0,57823.0,Michael Pressman,Kevin Eastman,Paige Turco
tt0103064,Terminator 2: Judgment Day,1991,137,"Action,Sci-Fi",8.6,1120710.0,James Cameron,James Cameron,Arnold Schwarzenegger
tt0103074,Thelma & Louise,1991,130,"Adventure,Crime,Drama",7.5,161301.0,Ridley Scott,Callie Khouri,Susan Sarandon
tt0103112,Toy Soldiers,1991,111,"Action,Drama,Thriller",6.6,23738.0,Daniel Petrie Jr.,William P. Kennedy,Sean Astin
tt0103130,Trust,1990,107,"Comedy,Crime,Drama",7.4,11689.0,Hal Hartley,Hal Hartley,Adrienne Shelly
tt0103241,What About Bob?,1991,99,Comedy,7.0,71929.0,Frank Oz,Alvin Sargent,Bill Murray
tt0103247,White Fang,1991,107,"Adventure,Drama",6.7,21630.0,Randal Kleiser,Jack London,Ethan Hawke
tt0103285,Wong Fei Hung,1991,134,"Action,Adventure,Drama",7.2,19244.0,Hark Tsui,Hark Tsui,Jet Li
tt0103594,1492: Conquest of Paradise,1992,154,"Adventure,Biography,Drama",6.4,31378.0,Ridley Scott,Rose Bosch,Gérard Depardieu
tt0103596,3 Ninjas,1992,84,"Action,Comedy,Family",5.3,22362.0,Jon Turteltaub,Kenny Kim,Victor Wong
tt0103639,Aladdin,1992,90,"Adventure,Animation,Comedy",8.0,435117.0,Ron Clements,Ron Clements,Scott Weinger
tt0103644,Alien³,1992,114,"Action,Horror,Sci-Fi",6.4,307144.0,David Fincher,Dan O'Bannon,Sigourney Weaver
tt0103747,The Babe,1992,115,"Biography,Drama,Sport",5.9,11277.0,Arthur Hiller,John Fusco,John Goodman
tt0103759,Bad Lieutenant,1992,96,"Crime,Drama,Thriller",7.0,45230.0,Abel Ferrara,Zoë Lund,Harvey Keitel
tt0103772,Basic Instinct,1992,127,"Drama,Mystery,Thriller",7.0,207620.0,Paul Verhoeven,Joe Eszterhas,Michael Douglas
tt0103776,Batman Returns,1992,126,"Action,Crime,Fantasy",7.1,313123.0,Tim Burton,Bob Kane,Michael Keaton
tt0103786,Beethoven,1992,87,"Comedy,Drama,Family",5.7,73664.0,Brian Levant,John Hughes,Charles Grodin
tt0103791,Belle Epoque,1992,109,"Comedy,Drama,Romance",7.1,10841.0,Fernando Trueba,Rafael Azcona,Fernando Fernán Gómez
tt0103793,Benny's Video,1992,110,"Crime,Drama",7.1,17512.0,Michael Haneke,Michael Haneke,Arno Frisch
