tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,director,writer,cast
tt0211465,Knockaround Guys,2001,92,"Crime,Drama,Thriller",6.1,24388.0,Brian Koppelman,Brian Koppelman,Jennifer Baxter
tt0211915,Le fabuleux destin d'Amélie Poulain,2001,122,"Comedy,Romance",8.3,768578.0,Jean-Pierre Jeunet,Guillaume Laurant,Audrey Tautou
tt0211933,Awake,2007,84,"Crime,Drama,Mystery",6.5,77315.0,Joby Harold,Joby Harold,Hayden Christensen
tt0211938,Bait,2000,119,"Action,Comedy,Crime",5.7,12824.0,Antoine Fuqua,Andrew Scheinman,Jamie Foxx
tt0211946,Berlin Calling,2008,109,"Comedy,Drama,Music",7.2,14901.0,Hannes Stöhr,Hannes Stöhr,Paul Kalkbrenner
tt0212338,Meet the Parents,2000,108,"Comedy,Romance",7.0,342876.0,Jay Roach,Greg Glienna,Ben Stiller
tt0212346,Miss Congeniality,2000,109,"Action,Comedy,Crime",6.3,218328.0,Donald Petrie,Marc Lawrence,Sandra Bullock
tt0212712,2046,2004,129,"Drama,Romance,Sci-Fi",7.4,59412.0,Kar-Wai Wong,Kar-Wai Wong,Tony Leung Chiu-wai
tt0212720,A.I. Artificial Intelligence,2001,146,"Drama,Sci-Fi",7.2,314336.0,Steven Spielberg,Brian Aldiss,Haley Joel Osment
tt0212985,Hannibal,2001,131,"Crime,Drama,Thriller",6.8,282329.0,Ridley Scott,Thomas Harris,Anthony Hopkins
tt0213149,Pearl Harbor,2001,183,"Action,Drama,History",6.2,340319.0,Michael Bay,Randall Wallace,Ben Affleck
tt0213203,Rugrats in Paris: The Movie - Rugrats II,2000,78,"Adventure,Animation,Comedy",6.1,13091.0,Stig Bergqvist,J. David Stem,Christine Cavanaugh
tt0213790,The Ladies Man,2000,84,Comedy,5.2,13498.0,Reginald Hudlin,Tim Meadows,Tim Meadows
tt0213847,Malèna,2000,108,"Drama,Romance,War",7.4,106549.0,Giuseppe Tornatore,Giuseppe Tornatore,Monica Bellucci
tt0213890,Mohabbatein,2000,216,"Drama,Musical,Romance",7.0,31346.0,Aditya Chopra,Aditya Chopra,Amitabh Bachchan
tt0214388,100 Girls,2000,94,"Comedy,Romance",5.8,23257.0,Michael Davis,Michael Davis,Jonathan Tucker
tt0215129,Road Trip,2000,93,Comedy,6.5,173135.0,Todd Phillips,Todd Phillips,Breckin Meyer
tt0215545,Bamboozled,2000,135,"Comedy,Drama,Music",6.6,11936.0,Spike Lee,Spike Lee,Damon Wayans
tt0215750,Enemy at the Gates,2001,131,"Action,Drama,War",7.5,268506.0,Jean-Jacques Annaud,Jean-Jacques Annaud,Jude Law
tt0216216,The 6th Day,2000,123,"Action,Mystery,Sci-Fi",5.9,124931.0,Roger Spottiswoode,Cormac Wibberley,Arnold Schwarzenegger
tt0216625,Code inconnu: Récit incomplet de divers voyages,2000,118,Drama,7.1,14464.0,Michael Haneke,Michael Haneke,Juliette Binoche
tt0216787,Le goût des autres,2000,112,"Comedy,Drama,Romance",7.2,10110.0,Agnès Jaoui,Jean-Pierre Bacri,Anne Alvaro
tt0216800,"Harry, un ami qui vous veut du bien",2000,117,"Comedy,Drama,Mystery",7.1,11696.0,Dominik Moll,Dominik Moll,Laurent Lucas
tt0217505,Gangs of New York,2002,167,"Crime,Drama",7.5,453323.0,Martin Scorsese,Jay Cocks,Leonardo DiCaprio
tt0217630,Loser,2000,98,"Comedy,Romance",5.3,29665.0,Amy Heckerling,Amy Heckerling,Jason Biggs
tt0217869,Unbreakable,2000,106,"Drama,Mystery,Sci-Fi",7.3,426938.0,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis
tt0218553,Ringu 2,1999,95,"Horror,Mystery,Sci-Fi",5.9,14117.0,Hideo Nakata,Hiroshi Takahashi,Miki Nakatani
tt0218817,Antitrust,2001,108,"Action,Crime,Drama",6.1,29786.0,Peter Howitt,Howard Franklin,Ryan Phillippe
tt0218839,Best in Show,2000,90,Comedy,7.4,64213.0,Christopher Guest,Christopher Guest,Fred Willard
tt0218922,Original Sin,2001,116,"Drama,Mystery,Romance",6.0,57987.0,Michael Cristofer,Cornell Woolrich,Antonio Banderas
tt0218967,The Family Man,2000,125,"Comedy,Drama,Fantasy",6.8,114022.0,Brett Ratner,David Diamond,Nicolas Cage
tt0219699,The Gift,2000,112,"Drama,Fantasy,Horror",6.7,71757.0,Sam Raimi,Billy Bob Thornton,Cate Blanchett
tt0219822,Human Nature,2001,96,"Comedy,Drama",6.4,18595.0,Michel Gondry,Charlie Kaufman,Tim Robbins
tt0219854,The Kid,2000,104,"Comedy,Family,Fantasy",6.1,43201.0,Jon Turteltaub,Audrey Wells,Bruce Willis
tt0219952,Lucky Numbers,2000,105,"Comedy,Crime",5.1,10725.0,Nora Ephron,Adam Resnick,John Travolta
tt0219965,Bandits,2001,123,"Comedy,Crime,Drama",6.5,69517.0,Barry Levinson,Harley Peyton,Bruce Willis
tt0220099,The Tigger Movie,2000,77,"Adventure,Animation,Comedy",6.3,19598.0,Jun Falkenstein,Eddie Guzelian,Jim Cummings
tt0220580,Intacto,2001,108,"Action,Adventure,Drama",6.8,13391.0,Juan Carlos Fresnadillo,Juan Carlos Fresnadillo,Max von Sydow
tt0221027,Blow,2001,124,"Biography,Crime,Drama",7.5,266556.0,Ted Demme,Bruce Porter,Johnny Depp
tt0221073,Chopper,2000,94,"Biography,Crime,Drama",7.1,40153.0,Andrew Dominik,Mark Brandon Read,Eric Bana
tt0221218,The Glass House,2001,106,"Crime,Drama,Mystery",5.8,38652.0,Daniel Sackheim,Wesley Strick,Diane Lane
tt0222812,Beyond Re-Animator,2003,96,"Comedy,Horror,Sci-Fi",5.8,12504.0,Brian Yuzna,José Manuel Gómez,Jeffrey Combs
tt0222851,Brother,2000,114,"Crime,Drama,Thriller",7.1,23744.0,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano
